sku,id,discount_price,normal_price
8102,7885991280809,4242,4990
8103,7885991379113,4496,5290
8110,7883625889961,2871,3190
8112,7886000226473,4242,4990
8116,7886000980137,5092,5990
8118,7886001668265,5092,5990
8123,7886005371049,5092,5990
8124,7883598692521,21443,22572
8125,7883626905769,5690,5990
8156,7886010319017,5346,6290
8157,7886009860265,5516,6490
8158,7886009663657,5516,6490
8159,7886010613929,2966,3490
8162,7886005862569,2542,2990
8202,7883593220265,4836,5200
8250,7885987348649,7641,8490
8251,7885987348649,14716,15490
9003,8189600071849,4740,4990
9005,7885988888745,4740,4990
9006,7885988888745,13290,13990
9007,7885988954281,4740,4990
9008,7885988954281,13290,13990
9009,7885988987049,4740,4990
9010,7885988987049,13290,13990
9011,7885989052585,4740,4990
9012,7885989052585,13290,13990
9013,7885989085353,4740,4990
9014,7885989085353,13290,13990
9015,7885989183657,4740,4990
9016,7885989183657,13290,13990
9017,8189600071849,13290,13990
9018,8189600661673,4740,4990
9019,8189600661673,13290,13990
9020,8189600923817,4740,4990
9021,8189600923817,13290,13990
9027,7885994885289,3790,3990
9028,7886002651305,4740,4990
9029,7886002651305,11390,11990
9030,7886003437737,13290,13990
9031,7886003437737,4740,4990
9032,7886003077289,4740,4990
9033,7886003077289,11390,11990
9035,7886003634345,15105,15900
9039,7886002225321,13290,13990
9040,7886004289705,2746,2890
9041,7886004289705,13290,13990
9042,7886004584617,2746,2890
9043,7886004584617,13290,13990
9044,7886004977833,2746,2890
9045,7886004977833,13290,13990
9046,7886002487465,3040,3200
9047,7886002487465,15105,15900
9048,7886001930409,2746,2890
9049,7886001930409,13290,13990
9053,8100190879913,2542,2990
9067,8050961154217,8256,8690
9068,7883607048361,12510,13900
9071,8189601743017,4740,4990
9072,8189601743017,13290,13990
9073,8107441717417,4740,4990
9074,8107441717417,13290,13990
9075,8189602201769,4740,4990
9076,8189602201769,13290,13990
9077,8189602365609,4740,4990
9078,8189602365609,13290,13990
9079,8189603578025,4740,4990
9080,8189603578025,13290,13990
9101,7885988069545,2691,2990
9102,7885987905705,8991,9990
9103,7885987905705,8991,9990
9107,7885988004009,2880,3200
9108,7885988004009,3060,3400
9109,7885988036777,648,720
9109-10-1,7885988036777,5850,6500
9110,7885988167849,13491,14990
9112,7885988004009,2700,3000
9113,7885988298921,990,1100
9114,7885989478569,2250,2500
9118,7885994459305,8256,8690
9128,7885994557609,11390,11990
9136,7885995344041,8991,9990
9146,7885996097705,3392,3990
9152,7885997572265,4242,4990
9153,7885997867177,2542,2990
9154,7885998031017,2542,2990
9155,7885998260393,3816,4490
9156,7885998457001,2542,2990
9157,7885998784681,2542,2990
9158,7886001668265,4242,4990
9159,7885999014057,4242,4990
9160,7885999210665,2966,3490
9161,7885999800489,3136,3690
9162,7886000029865,2542,2990
9181,8035197976745,7995,8690
9182,7956959101097,5092,5990
9183,7956972601513,5092,5990
9184,7956980727977,5092,5990
9185,7956987609257,5092,5990
9200,7885989445801,2970,3300
9201,7885989445801,4950,5500
9202,7885989445801,8991,9990
9212,8039653179561,9810,10900
9215,8039468400809,2542,2990
9250,7971610558633,1791,1990
9251,7971635200169,1791,1990
9252,7971633135785,1791,1990
9254,7971632251049,1791,1990
9255,7971629727913,1791,1990
9256,7971634839721,1791,1990
9529,8073946202281,7995,8690
